"filename", "language", "TypeScript React", "JSON", "TypeScript", "Markdown", "CSS", "JavaScript", "JSON with Comments", "Pug", "Properties", "HTML", "comment", "blank", "total"
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/Cart.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/Footer.tsx", "TypeScript React", 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 138
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/Navbar.tsx", "TypeScript React", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 97
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/NumberAndSocials.tsx", "TypeScript React", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/OpeningHours.tsx", "TypeScript React", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 128
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/PaymentMethods.tsx", "TypeScript React", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 183
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/PreFooter.tsx", "TypeScript React", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 97
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/TopBar.tsx", "TypeScript React", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/components/c_global/TopNav.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/data/about.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"/Users/mykolabrechko/Desktop/old mac data/Odin/personalCapstone/client/src/data/shop.json", "JSON", 0, 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 400
